index,type
747,price_shock
253,price_shock
564,price_shock
359,price_shock
430,price_shock
387,volatility_spike
121,volatility_spike
187,volatility_spike
708,volatility_spike
462,volatility_spike
200,volume_anomaly
234,volume_anomaly
429,volume_anomaly
634,volume_anomaly
449,volume_anomaly
521,trend_reversal
899,trend_reversal
689,trend_reversal
553,composite_anomaly
755,composite_anomaly
255,composite_anomaly
199,quiet_period
200,quiet_period
201,quiet_period
202,quiet_period
203,quiet_period
666,quiet_period
667,quiet_period
668,quiet_period
669,quiet_period
670,quiet_period
